percent,discount,links,size,black_friday,euro,respect,question,order,name,sale,capital_letters,lowercase_letters,num_of_files,recipients,exclamation,file,unsubscribe,receipt,forward,photo,letters,thanks,space,period,subject,comma,privacy_policy,offer,class
0,0,0,369,0,0,0,0,0,0,0,32,90,1,1,0,1,0,0,0,0,369,0,10,6,9,1,0,0,non-advertisement
0,0,0,347,0,0,0,0,0,0,0,32,72,1,0,0,1,0,0,0,0,347,0,10,3,1,0,0,0,non-advertisement
0,0,0,354,0,0,0,0,0,0,0,33,79,1,0,0,1,0,0,0,0,354,0,10,3,1,0,0,0,non-advertisement
0,0,1,965,0,0,0,2,0,1,0,53,499,1,0,1,0,0,0,0,0,965,0,50,12,15,5,0,0,non-advertisement
0,0,0,339,0,0,0,0,0,0,0,32,65,1,0,0,1,0,0,0,0,339,0,10,5,1,0,0,0,non-advertisement
0,0,0,377,0,0,0,0,0,0,0,32,102,1,1,0,1,0,0,0,0,377,0,10,5,6,1,0,0,non-advertisement
0,0,0,364,0,0,0,0,0,0,0,64,50,2,0,0,1,0,0,0,0,364,0,13,4,6,1,0,0,non-advertisement
0,0,0,470,0,0,0,0,0,0,0,54,116,1,0,0,1,0,0,0,0,470,0,29,4,10,3,0,0,non-advertisement
0,0,0,541,0,0,0,0,0,1,0,51,149,1,0,0,1,0,0,0,0,541,0,37,5,10,5,0,0,non-advertisement
0,0,0,354,0,0,0,0,0,0,0,31,79,1,0,0,1,0,0,0,0,354,0,11,3,1,0,0,0,non-advertisement
0,0,0,568,0,0,0,0,0,0,0,41,243,1,1,0,1,0,0,0,0,568,0,36,5,8,2,0,0,non-advertisement
0,0,0,370,0,0,0,0,0,0,0,31,83,3,0,0,1,0,0,0,1,370,0,15,5,1,2,0,0,non-advertisement
0,0,0,358,0,0,0,0,0,0,0,32,78,1,0,0,1,0,0,0,0,358,0,12,3,5,0,0,0,non-advertisement
0,0,1,1516,0,0,0,6,0,1,0,93,803,1,0,1,1,0,0,0,0,1516,0,71,21,15,8,0,0,non-advertisement
0,0,1,637,0,0,0,1,0,0,0,40,313,1,0,0,0,0,0,0,0,637,0,34,8,29,1,0,0,non-advertisement
0,0,0,337,0,0,0,0,0,0,0,31,67,1,0,0,1,0,0,0,0,337,0,10,3,17,0,0,0,non-advertisement
0,0,0,364,0,0,0,0,0,0,0,31,74,1,0,0,1,0,0,0,0,364,0,11,3,12,0,0,0,non-advertisement
0,0,0,348,0,0,0,0,0,0,0,31,73,1,0,0,1,0,0,0,0,348,0,11,3,6,0,0,0,non-advertisement
0,0,0,419,0,0,0,0,0,1,0,33,105,1,0,0,1,0,0,0,0,419,0,18,4,10,2,0,0,non-advertisement
0,0,0,489,0,0,0,0,0,1,0,34,131,1,0,0,1,0,0,0,0,489,0,25,5,10,4,0,0,non-advertisement
0,0,0,320,0,0,0,0,0,0,0,30,51,1,0,0,1,0,0,0,0,320,0,9,3,9,0,0,0,non-advertisement
0,0,0,423,0,0,0,0,0,1,0,34,108,1,0,0,1,0,0,0,0,423,0,18,4,13,2,0,0,non-advertisement
0,0,1,1676,0,0,0,6,0,1,0,85,878,1,0,2,0,0,0,0,0,1676,0,89,21,15,10,0,0,non-advertisement
0,0,0,499,0,0,0,0,0,1,0,36,143,1,0,0,1,0,0,0,0,499,0,25,5,13,4,0,0,non-advertisement
0,0,0,391,0,0,0,0,0,0,0,31,97,4,0,0,1,0,0,0,0,391,0,17,6,6,3,0,0,non-advertisement
0,0,0,429,0,0,0,0,0,0,0,32,134,2,0,0,1,0,0,0,0,429,0,21,6,11,2,0,0,non-advertisement
0,0,0,492,0,0,0,0,0,1,0,34,160,1,0,0,1,0,0,0,0,492,0,28,6,15,3,0,0,non-advertisement
0,0,0,397,0,0,0,0,0,0,0,32,99,2,0,0,1,0,0,0,0,397,0,12,4,5,1,0,0,non-advertisement
0,0,0,420,0,0,0,0,0,0,0,34,131,1,1,0,1,0,0,0,0,420,0,16,5,18,1,0,0,non-advertisement
0,0,0,445,0,0,0,0,0,1,0,24,150,1,0,0,0,0,0,0,0,445,1,28,3,22,2,0,0,non-advertisement
0,0,0,428,0,0,0,0,0,1,0,25,142,1,0,0,0,0,0,0,0,428,1,21,4,22,2,0,0,non-advertisement
0,0,1,397,0,0,0,1,0,0,0,32,129,1,0,0,0,0,0,0,0,397,0,11,5,26,1,0,0,non-advertisement
0,0,0,343,0,0,0,0,0,0,0,30,58,1,0,0,1,0,0,0,0,343,0,9,3,7,0,0,0,non-advertisement
0,0,1,683,0,0,0,2,0,0,0,57,297,1,0,0,1,0,0,0,0,683,0,12,10,12,0,0,0,non-advertisement
0,0,0,338,0,0,0,0,0,0,0,30,70,1,0,0,1,0,0,0,0,338,0,9,3,6,0,0,0,non-advertisement
0,0,0,365,0,0,0,0,0,0,0,30,93,1,0,0,1,0,0,0,0,365,0,13,3,33,0,0,0,non-advertisement
0,0,0,366,0,0,0,0,0,0,0,30,94,1,0,0,1,0,0,0,0,366,0,11,3,24,0,0,0,non-advertisement
0,0,1,455,0,0,0,1,0,0,0,39,171,1,1,0,0,0,0,0,0,455,0,15,7,26,1,0,0,non-advertisement
0,0,0,374,0,0,0,0,0,0,0,32,96,1,0,0,1,0,0,0,0,374,0,13,4,27,0,0,0,non-advertisement
0,0,0,344,0,0,0,0,0,0,0,31,71,1,0,0,1,0,0,0,0,344,0,11,3,10,0,0,0,non-advertisement
0,0,0,468,0,0,0,0,0,0,0,35,169,1,1,0,1,0,0,0,0,468,0,23,6,28,2,0,0,non-advertisement
0,0,0,2845,0,0,0,3,0,0,0,95,1228,1,0,0,0,0,0,0,0,2845,0,694,28,43,4,0,0,non-advertisement
0,0,1,5708,0,0,0,14,0,0,0,392,2794,10,0,0,1,0,0,0,1,5708,0,457,79,47,15,0,0,non-advertisement
0,0,0,380,0,0,0,0,0,0,0,36,60,2,0,0,1,0,0,0,1,380,0,13,4,1,1,0,0,non-advertisement
0,0,1,726,0,0,0,2,0,0,0,57,335,1,0,0,1,0,0,0,0,726,0,17,11,11,1,0,0,non-advertisement
0,0,0,350,0,0,0,0,0,0,0,37,67,1,0,0,1,0,0,0,0,350,0,13,3,1,0,0,0,non-advertisement
0,0,0,352,0,0,0,0,0,0,0,31,76,1,0,0,1,0,0,0,0,352,0,11,3,1,0,0,0,non-advertisement
0,0,0,345,0,0,0,0,0,0,0,31,70,1,0,0,1,0,0,0,1,345,0,11,3,1,0,0,0,non-advertisement
1,1,0,1997,0,0,0,0,0,1,0,246,899,1,0,0,1,0,1,0,0,1997,0,160,44,60,16,0,0,non-advertisement
0,0,0,404,0,0,0,0,0,0,0,61,66,5,0,0,1,0,0,0,0,404,0,19,7,1,4,0,0,non-advertisement
0,0,1,398,0,0,0,1,0,0,0,36,129,1,0,0,0,0,0,0,0,398,0,10,5,11,0,0,0,non-advertisement
2,0,0,1843,0,0,0,0,0,1,0,238,793,1,0,0,1,0,1,0,0,1843,0,148,33,46,18,0,0,non-advertisement
1,0,0,2076,0,0,0,0,0,1,0,238,971,1,0,0,1,0,1,0,0,2076,0,182,39,48,22,0,0,non-advertisement
2,0,0,2442,0,0,0,0,0,1,0,258,1214,1,0,0,1,0,1,0,0,2442,0,209,46,59,18,0,0,non-advertisement
3,0,0,7262,0,1,0,4,1,1,0,213,4708,1,0,2,0,0,0,0,0,7262,1,1267,65,50,41,0,0,non-advertisement
